name,regions,habitat,diet,type,start_date,end_date,size,weight,time_period,image_location,tooltip_content,attribution_total_score,test_date,wikiURL,extra_image
Iguanodon,Eurasia,Land,Herbivore,Dinosaur,122,126,36,9600,Cretaceous,iguanodon,"Iguanodon (/ɪˈɡwɑːnədɒn/ i-GWAH-nə-don; meaning 'iguana-tooth'), named in 1825, is a genus of iguanodontian dinosaur. While many species have been classified in the genus Iguanodon, dating from the late Jurassic Period to the early Cretaceous Period of Asia, Europe, and North America, taxonomic revision in the early 21st century has defined Iguanodon to be based on one well-substantiated species: I. bernissartensis, which lived from the late Barremian to the earliest Aptian ages[4] (Early Cretaceous) in Belgium, Germany, England, Spain, and possibly elsewhere in Europe, between about 126 and 122 million years ago. Iguanodon was a large, bulky herbivore, measuring up to 9–11 metres (30–36 ft) in length and 4.5 metric tons (5.0 short tons) in body mass. Distinctive features include large thumb spikes, which were possibly used for defense against predators, combined with long prehensile fifth fingers able to forage for food.
<p>

The genus was named in 1825 by English geologist Gideon Mantell but discovered by William Harding Bensted, based on fossil specimens found in England and was given the species name I. anglicus. Iguanodon was the second type of dinosaur formally named based on fossil specimens, after Megalosaurus. Together with Megalosaurus and Hylaeosaurus, it was one of the three genera originally used to define Dinosauria. The genus Iguanodon belongs to the larger group Iguanodontia, along with the duck-billed hadrosaurs. The taxonomy of this genus continues to be a topic of study as new species are named or long-standing ones reassigned to other genera. In 1878 new, far more complete remains of Iguanodon were discovered in Belgium and studied by Louis Dollo. These were given the new species I. bernissartensis. In the early 21st century it became understood that the remains referred to Iguanodon in England belonged to four different species (including I. bernissartensis) that were not closely related to each other, which were subsequently split off into Mantellisaurus, Barilium and Hypselospinus. It was also found that the originally described type species of Iguanodon, I. anglicus was a nomen dubium, and not valid. Thus the name ""Iguanodon"" became fixed around the well known species based primarily on the Belgian specimens. In 2015, a second valid species, I. galvensis, was named, based on fossils found in the Iberian Peninsula.

<p>
Scientific understanding of Iguanodon has evolved over time as new information has been obtained from fossils. The numerous specimens of this genus, including nearly complete skeletons from two well-known bone beds, have allowed researchers to make informed hypotheses regarding many aspects of the living animal, including feeding, movement, and social behaviour. As one of the first scientifically well-known dinosaurs, Iguanodon has occupied a small but notable place in the public's perception of dinosaurs, its artistic representation changing significantly in response to new interpretations of its remains.",15,125,https://en.wikipedia.org/wiki/Iguanodon,no
Baryonyx,Eurasia,Land,Carnivore,Dinosaur,125,130,26,4000,Cretaceous,baryonyx,"Baryonyx (/ˌbæriˈɒnɪks/) is a genus of theropod dinosaur which lived in the Barremian stage of the Early Cretaceous period, about 130–125 million years ago. The first skeleton was discovered in 1983 in the Smokejack Clay Pit, of Surrey, England, in sediments of the Weald Clay Formation, and became the holotype specimen of Baryonyx walkeri, named by palaeontologists Alan J. Charig and Angela C. Milner in 1986. The generic name, Baryonyx, means ""heavy claw"" and alludes to the animal's very large claw on the first finger; the specific name, walkeri, refers to its discoverer, amateur fossil collector William J. Walker. The holotype specimen is one of the most complete theropod skeletons from the UK (and remains the most complete Spinosaurid), and its discovery attracted media attention. Specimens later discovered in other parts of the United Kingdom and Iberia have also been assigned to the genus, though many have since been moved to new genera.
<p>

The holotype specimen, which may not have been fully grown, was estimated to have been between 7.5 and 10 metres (25 and 33 feet) long and to have weighed between 1.2 and 2 metric tons (1.3 and 2.2 short tons; 1.2 and 2.0 long tons). Baryonyx had a long, low, and narrow snout, which has been compared to that of a gharial. The tip of the snout expanded to the sides in the shape of a rosette. Behind this, the upper jaw had a notch which fitted into the lower jaw (which curved upwards in the same area). It had a triangular crest on the top of its nasal bones. Baryonyx had a large number of finely serrated, conical teeth, with the largest teeth in front. The neck formed an S-shape, and the neural spines of its dorsal vertebrae increased in height from front to back. One elongated neural spine indicates it may have had a hump or ridge along the centre of its back. It had robust forelimbs, with the eponymous first-finger claw measuring about 31 centimetres (12 inches) long.
<p>
Now recognised as a member of the family Spinosauridae, Baryonyx's affinities were obscure when it was discovered. Some researchers have suggested that Suchosaurus cultridens is a senior synonym (being an older name), and that Suchomimus tenerensis belongs in the same genus; subsequent authors have kept them separate. Baryonyx was the first theropod dinosaur demonstrated to have been piscivorous (fish-eating), as evidenced by fish scales in the stomach region of the holotype specimen. It may also have been an active predator of larger prey and a scavenger, since it also contained bones of a juvenile iguanodontid. The creature would have caught and processed its prey primarily with its forelimbs and large claws. Baryonyx may have had semiaquatic habits, and coexisted with other theropod, ornithopod, and sauropod dinosaurs, as well as pterosaurs, crocodiles, turtles and fishes, in a fluvial environment.",14,125,https://en.wikipedia.org/wiki/Baryonyx,yes
Hatzegopteryx,Eurasia,Air,Carnivore,Flying Reptile,70,70,33,250,Cretaceous,pterodactyl,"Hatzegopteryx (""Hațeg basin wing"") is a genus of azhdarchid pterosaur found in the late Maastrichtian deposits of the Densuş Ciula Formation, an outcropping in Transylvania, Romania. It is known only from the type species, Hatzegopteryx thambema, named by Buffetaut et al. in 2002 based on parts of the skull and humerus. Additional specimens, including a neck vertebra, were later placed in the genus, representing a range of sizes. The largest of these remains indicate it was among the biggest pterosaurs, with an estimated wingspan of 10 to 12 metres (33 to 39 ft).
<p>

Unusually among giant azhdarchids, Hatzegopteryx had a very wide skull bearing large muscular attachments; bones with a spongy internal texture instead of hollow; and a short, robust, and heavily muscled neck measuring 1.5 metres (5 ft) long, which was about half the length of other azhdarchids with comparable wingspans, and was capable of withstanding strong bending forces. Hatzegopteryx inhabited Hațeg Island, an island situated in the Cretaceous subtropics within the prehistoric Tethys Sea. In the absence of large theropods, Hatzegopteryx was likely the apex predator of Hațeg Island, tackling proportionally larger prey (including dwarf titanosaurs and iguanodontians) than other azhdarchids.
<p>
The first remains of Hatzegopteryx were found from the upper part of the Middle Densuş Ciula Formation of Vălioara, northwestern Hațeg Basin, Transylvania, western Romania, which has been dated to the late Maastrichtian stage of the Late Cretaceous Period, around 66 million years ago.",10,70,https://en.wikipedia.org/wiki/Hatzegopteryx,no
Mesosaurus,Africa,Water,Carnivore,Marine Reptile,290,290,3,20,Permian,mesosaurus,"Mesosaurus (meaning ""middle lizard"") is an extinct genus of reptile from the Early Permian of southern Africa and South America. Along with it, the genera Brazilosaurus and Stereosternum, it is a member of the family Mesosauridae and the order Mesosauria. Mesosaurus was long thought to have been one of the first marine reptiles, although new data suggests that at least those of Uruguay inhabited a hypersaline water body, rather than a typical marine environment.[3] In any case, it had many adaptations to a fully aquatic lifestyle. It is usually considered to have been anapsid, although Friedrich von Huene considered it to be a synapsid, and this hypothesis has been revived recently.
<p>

Mesosaurus had a long skull that was larger than that of Stereosternum and had longer teeth. The teeth are angled outwards, especially those at the tips of the jaws.

The bones of the postcranial skeleton are thick, having undergone pachyostosis. Mesosaurus is unusual among reptiles in that it possesses a cleithrum. A cleithrum is a type of dermal bone that overlies the scapula, and is usually found in more primitive bony fish and tetrapods. The head of the interclavicle of Mesosaurus is triangular, unlike those of other early reptiles, which are diamond-shaped.
<p>
Mesosaurus was significant in providing evidence for the theory of continental drift, because its remains were found in southern Africa, Whitehill Formation, and eastern South America (Melo Formation, Uruguay and Irati Formation, Brazil), two widely separated regions. As Mesosaurus was a coastal animal, and therefore less likely to have crossed the Atlantic Ocean, this distribution indicated that the two continents used to be joined together.",15,290,https://en.wikipedia.org/wiki/Mesosaurus,no
Giraffatitan,Africa,Land,Herbivore,Dinosaur,145,150,66,80000,Cretaceous,giraffatitan,"Giraffatitan (name meaning ""titanic giraffe"") is a genus of sauropod dinosaur that lived during the late Jurassic Period (Kimmeridgian–Tithonian stages) in what is now Lindi Region, Tanzania. It was originally named as an African species of Brachiosaurus (B. brancai), but this has since been moved to its own genus. Giraffatitan was for many decades known as the largest dinosaur but recent discoveries of several larger dinosaurs prove otherwise; giant titanosaurians appear to have surpassed Giraffatitan in terms of sheer mass. Also, the sauropod dinosaur Sauroposeidon is estimated to be taller and possibly heavier than Giraffatitan.
<p>

Most size estimates for Giraffatitan are based on the specimen HMN SII, a subadult individual, but there is evidence supporting that these animals could grow larger; specimen HMN XV2, represented by a fibula 13% larger than the corresponding material on HMN SII, might have attained 23 metres (75 ft) in length and 40 metric tons (44 short tons) in body mass or more.
<p>
Between 1914 and the 1990s, Giraffatitan was claimed to be the largest dinosaur known, (ignoring the possibly larger but lost Maraapunisaurus) and thus the largest land animal in history. In the later part of the twentieth century, several giant titanosaurians found appear to surpass Giraffatitan in terms of sheer mass. However, Giraffatitan and Brachiosaurus are still the largest sauropods known from relatively complete material.",12,145,https://en.wikipedia.org/wiki/Giraffatitan,no
Spinosaurus,Africa,Land,Carnivore,Dinosaur,93,99,50,44000,Cretaceous,spinosaurus,"Spinosaurus (/ˌspɪnəˈsɔːrəs/; lit. 'spine lizard') is a genus of spinosaurid dinosaur that lived in what now is North Africa during the Cenomanian to upper Turonian stages of the Late Cretaceous period, about 99 to 93.5 million years ago. The genus was known first from Egyptian remains discovered in 1912 and described by German palaeontologist Ernst Stromer in 1915. The original remains were destroyed in World War II, but additional material came to light in the early 21st century. It is unclear whether one or two species are represented in the fossils reported in the scientific literature. The best known species is S. aegyptiacus from Egypt, although a potential second species, S. maroccanus, has been recovered from Morocco. The contemporary spinosaurid genus Sigilmassasaurus has also been synonymized by some authors with S. aegyptiacus, though other researchers propose it to be a distinct taxon. Another possible junior synonym is Oxalaia from the Alcântara Formation in Brazil.
<p>

Spinosaurus is the longest known terrestrial carnivore; other large carnivores comparable to Spinosaurus include theropods such as Tyrannosaurus, Giganotosaurus and Carcharodontosaurus. The most recent study suggests that previous body size estimates are overestimated, and that S. aegyptiacus reached 14 metres (46 ft) in length and 7.4 metric tons (8.2 short tons) in body mass. The skull of Spinosaurus was long, low, and narrow, similar to that of a modern crocodilian, and bore straight conical teeth with no serrations. It would have had large, robust forelimbs bearing three-fingered hands, with an enlarged claw on the first digit. The distinctive neural spines of Spinosaurus, which were long extensions of the vertebrae (or backbones), grew to at least 1.65 meters (5.4 ft) long and were likely to have had skin connecting them, forming a sail-like structure, although some authors have suggested that the spines were covered in fat and formed a hump. The hip bones of Spinosaurus were reduced, and the legs were very short in proportion to the body. Its long and narrow tail was deepened by tall, thin neural spines and elongated chevrons, forming a flexible fin or paddle-like structure.
<p>
Spinosaurus is known to have eaten fish, and most scientists believe that it hunted both terrestrial and aquatic prey. Evidence suggests that it was highly semiaquatic, and lived both on land and in water much like modern crocodilians do. Spinosaurus's leg bones had osteosclerosis (high bone density), allowing for better buoyancy control, and the paddle-like tail was likely used for underwater propulsion. Multiple functions have been put forward for the dorsal sail, including thermoregulation and display; either to intimidate rivals or attract mates. It lived in a humid environment of tidal flats and mangrove forests alongside many other dinosaurs, as well as fish, crocodylomorphs, lizards, turtles, pterosaurs, and plesiosaurs.",14,96,https://en.wikipedia.org/wiki/Spinosaurus,no
Shunosaurus,Eurasia,Land,Herbivore,Dinosaur,155,161,36,7000,Jurassic,shunosaurus,"Shunosaurus, meaning ""shu lizard"", is a genus of sauropod dinosaur from Late Jurassic (Oxfordian) beds in Sichuan Province in China, approximately 159 million years ago. The name derives from ""Shu"", an ancient name for the Sichuan province.
<p>

The first fossil of Shunosaurus was discovered in 1977 by a group of students, practising paleontological excavation at a road bank. The type species, Shunosaurus lii, was described and named by Dong Zhiming, Zhou Shiwu and Zhang Yihong in 1983. The generic name derives from ""Shu"", an ancient name for Sichuan. The specific name honours hydrologist Li Bing, the governor of Sichuan in the third century BC.
<p>
Shunosaurus was first estimated to be 11 metres (36 ft) long; later and more complete finds indicated a somewhat smaller size. In 2010 Gregory S. Paul estimated the length at 9.5 metres (31 ft), the weight at 3 metric tons (3.3 short tons). Shunosaurus was very short-necked for a sauropod, being only ""surpassed"" in this respect by Brachytrachelopan. The skulls found are mostly compressed or disarticulated and the interpretation of the head form has varied from broad, short and deep to extremely narrow and pointed. The upper and lower jaws were strongly curved upwards, allowing them to function as a pair of garden shears. The teeth were fairly robust but elongated with a crown length of up to 8 centimetres (3.1 in). They show a unique combination of a cylindrical body ending in a spatulate tip. Published in 1989 was the discovery that the tail ended in a club, equipped on its top with two successive spikes formed by cone-shaped osteoderms with a length of 5 centimetres (2.0 in). The club was probably used to fend off predators.",10,161,https://en.wikipedia.org/wiki/Shunosaurus,no
Psittacosaurus,Eurasia,Land,Herbivore,Dinosaur,101,126,7,40,Cretaceous,lizard,"Psittacosaurus (/ˌsɪtəkəˈsɔːrəs/ SIT-ə-kə-SOR-əs; ""parrot lizard"") is a genus of extinct ceratopsian dinosaur from the Early Cretaceous of what is now Asia, existing between 126 and 101 million years ago. It is notable for being the most species-rich non-avian dinosaur genus. Up to 12 species are known, from across China, Mongolia, Russia, and Thailand. The species of Psittacosaurus were obligate bipeds at adulthood, with a high skull and a robust beak. One individual was found preserved with long filaments on the tail, similar to those of Tianyulong. Psittacosaurus probably had complex behaviours, based on the proportions and relative size of the brain. It may have been active for short periods of time during the day and night, and had well-developed senses of smell and vision.
<p>

Psittacosaurus was one of the earliest ceratopsians, but closer to Triceratops than Yinlong. Once in its own family, Psittacosauridae, with other genera like Hongshanosaurus, it is now considered to be senior synonym of the latter and an early offshoot of the branch that led to more derived forms. The genera closely related to Psittacosaurus are all from Asia, with the exception of Aquilops, from North America. The first species was either P. lujiatunensis or closely related, and it may have given rise to later forms of Psittacosaurus.
<p>
Psittacosaurus is one of the most completely known dinosaur genera. Fossils of hundreds of individuals have been collected so far, including many complete skeletons. Most age classes are represented, from hatchling through to adult, which has allowed several detailed studies of Psittacosaurus growth rates and reproductive biology. The abundance of this dinosaur in the fossil record has led to the labelling of Lower Cretaceous sediments of east Asia the Psittacosaurus biochron.",15,120,https://en.wikipedia.org/wiki/Psittacosaurus,yes
Yutyrannus,Eurasia,Land,Carnivore,Dinosaur,125,125,30,2000,Cretaceous,talons,"Yutyrannus (meaning ""feathered tyrant"") is a genus of proceratosaurid tyrannosauroid dinosaur which contains a single known species, Yutyrannus huali. This species lived during the early Cretaceous period in what is now northeastern China. Three fossils of Yutyrannus huali —all found in the rock beds of Liaoning Province— are currently the largest-known carnivorous dinosaur specimens that preserve direct evidence of feathers.
<p>

Yutyrannus huali was named and scientifically described in 2012 by Xu Xing et al. The name is derived from Mandarin Chinese yǔ (羽, ""feather"") and Latinised Greek tyrannos (τύραννος, ""tyrant""), a reference to its classification as a feathered member of the Tyrannosauroidea. The specific name consists of the Mandarin huáli (华丽 simplified, 華麗 traditional, ""beautiful""), in reference to the perceived beauty of the plumage.
<p>
Yutyrannus is known from three nearly complete fossil specimens (an adult, a subadult and a juvenile) acquired from a fossil dealer who claimed all three had their provenance in a single quarry at Batu Yingzi in Liaoning Province, China. They were thus probably found in a layer of the Yixian Formation, dating from the Aptian, approximately 125 million years old.",12,125,https://en.wikipedia.org/wiki/Yutyrannus,no
Microraptor,Eurasia,Land,Carnivore,Dinosaur,120,120,2.5,2,Cretaceous,smallraptor,"Microraptor (Greek, μικρός, mīkros: ""small""; Latin, raptor: ""one who seizes"") is a genus of small, four-winged paravian dinosaurs. Numerous well-preserved fossil specimens have been recovered from Liaoning, China. They date from the early Cretaceous Jiufotang Formation (Aptian stage), 125 to 120 million years ago. Three species have been named (M. zhaoianus, M. gui, and M. hanqingi), though further study has suggested that all of them represent variation in a single species, which is properly called M. zhaoianus. Cryptovolans, initially described as another four-winged dinosaur, is usually considered to be a synonym of Microraptor.
<p>

Like Archaeopteryx, well-preserved fossils of Microraptor provide important evidence about the evolutionary relationship between birds and earlier dinosaurs. Microraptor had long pennaceous feathers that formed aerodynamic surfaces on the arms and tail but also on the legs. This led paleontologist Xu Xing in 2003 to describe the first specimen to preserve this feature as a ""four-winged dinosaur"" and to speculate that it may have glided using all four limbs for lift. Subsequent studies have suggested that Microraptor was capable of powered flight as well.

<p>
Microraptor was among the most abundant non-avialan dinosaurs in its ecosystem, and the genus is represented by more fossils than any other dromaeosaurid, with possibly over 300 fossil specimens represented across various museum collections.
",15,120,https://en.wikipedia.org/wiki/Microraptor,no
Velociraptor,Eurasia,Land,Carnivore,Dinosaur,71,75,6.5,100,Cretaceous,raptor,"Velociraptor (/vəˌlɒsɪˈræptər, vəˈlɒsɪræptər/; lit. 'swift thief') is a genus of small dromaeosaurid dinosaur that lived in Asia during the Late Cretaceous epoch, about 75 million to 71 million years ago. Two species are currently recognized, although others have been assigned in the past. The type species is V. mongoliensis; fossils of this species have been discovered in the Djadochta Formation, Mongolia. A second species, V. osmolskae, was named in 2008 for skull material from the Bayan Mandahu Formation, China.
<p>

Smaller than other dromaeosaurids like Deinonychus and Achillobator, Velociraptor was about 1.5–2.07 m (4.9–6.8 ft) long with a body mass between 15–18.3 kg (33–40 lb). It nevertheless shared many of the same anatomical features. It was a bipedal, feathered carnivore with a long tail and an enlarged sickle-shaped claw on each hindfoot, which is thought to have been used to tackle and restraint prey. Velociraptor can be distinguished from other dromaeosaurids by its long and low skull, with an upturned snout.

<p>
Velociraptor (commonly referred to as ""raptor"") is one of the dinosaur genera most familiar to the general public due to its prominent role in the Jurassic Park films. In real life, however, Velociraptor was roughly the size of a turkey, considerably smaller than the approximately 2 m (6.6 ft) tall and 90 kg (200 lb) reptiles seen in the novels and films (which were based on members of the related genus Deinonychus). Today, Velociraptor is well known to paleontologists, with over a dozen described fossil skeletons, the most of any dromaeosaurid. One particularly famous specimen preserves a Velociraptor locked in combat with a Protoceratops.",14,71,https://en.wikipedia.org/wiki/Velociraptor,yes
Cryolophosaurus,Antarctica,Land,Carnivore,Dinosaur,182,186,20,1000,Jurassic,duckbilled,"Cryolophosaurus (/ˌkraɪoʊˌloʊfoʊˈsɔːrəs/ or /kraɪˌɒloʊfoʊˈsɔːrəs/; ""CRY-oh-loaf-oh-SAWR-us"") is a genus of large theropod dinosaur known from only a single species Cryolophosaurus ellioti, from the early Jurassic of Antarctica. It was one of the largest theropods of the Early Jurassic, with the subadult being estimated to have reached 6–7 metres (20–23 ft) long and weighed 350–465 kilograms (772–1,025 lb).
<p>

Cryolophosaurus was first excavated from Antarctica's Early Jurassic, Pliensbachian aged Hanson Formation, formerly the upper Falla Formation, by paleontologist Dr. William Hammer in 1991. It was the first carnivorous dinosaur to be discovered in Antarctica and the first non-avian dinosaur from the continent to be officially named. The sediments in which its fossils were found have been dated at ~194 to 188 million years ago, representing the Early Jurassic Period.
<p>
Cryolophosaurus is known from a skull, a femur and other material, all of which have caused its classification to vary greatly. The femur possesses many primitive characteristics that have classified Cryolophosaurus as a dilophosaurid or a neotheropod outside of Dilophosauridae and Averostra, whereas the skull has many advanced features, leading the genus to be considered a tetanuran, an abelisaurid, a ceratosaur and even an allosaurid. Cryolophosaurus is currently considered to be a derived neotheropod, close to Averostra. Additionally, Cryolophosaurus possessed a distinctive ""pompadour"" crest that spanned the head from side to side. Based on evidence from related species and studies of bone texture, it is thought that this bizarre crest was used for intra-species recognition. The brain of Cryolophosaurus was also more primitive than those of other theropods.",10,182,https://en.wikipedia.org/wiki/Cryolophosaurus,yes
Muttaburrasaurus,Australia,Land,Herbivore,Dinosaur,103,107,26,5600,Cretaceous,muttaburrasaurus,"Muttaburrasaurus was a genus of herbivorous iguanodontian ornithopod dinosaur, which lived in what is now northeastern Australia sometime between 110 and 103 million years ago during the early Cretaceous period. It has been recovered in some analyses as a member of the iguanodontian clade Rhabdodontomorpha. After Kunbarrasaurus, it is Australia's most completely known dinosaur from skeletal remains. It was named after Muttaburra, the site in Queensland, Australia, where it was found.
<p>

Muttaburrasaurus was about 8 metres (26 ft) and weighed around 2.8 metric tons (3.1 short tons). The femur of the holotype has a length of 1,015 millimetres (40.0 in).
Whether Muttaburrasaurus is capable of quadrupedal movement has been debated; it was originally thought to be an ""iguanodontid""; thought recent studies indicate a rhabdodont position. Ornithopods this basal were incapable of quadrupedal movement. Originally reconstructing Muttaburrasaurus with a thumb spike, Molnar later doubted such a structure was present.[4] The foot was long and broad, with four toes.
<p>
The skull of Muttaburrasaurus was rather flat, with a triangular cross-section when seen from above; the back of the head is broad but the snout pointed. The snout includes a strongly enlarged, hollow, upward-bulging nasal muzzle that might have been used to produce distinctive calls or for display purposes. However, as no fossilised nasal tissue has been found, this remains conjectural. This so-called bulla nasalis was shorter in the older Muttaburrasaurus sp., as is shown by the Dunluce Skull. The top section of the bulla of the holotype has not been preserved, but at least the second skull has a rounded profile.",15,107,https://en.wikipedia.org/wiki/Muttaburrasaurus,no
Leaellynasaura,Australia,Land,Herbivore,Dinosaur,110,113,8,300,Cretaceous,leaellynasaura,"Leaellynasaura (meaning ""Leaellyn's lizard"") is a genus of small herbivorous ornithischian dinosaurs from the Albian stage of the Early Cretaceous (dated to between 118 and 110 million years ago), first discovered in Dinosaur Cove, Australia. The only known species is Leaellynasaura amicagraphica. It was described in 1989, and named after Leaellyn Rich, the daughter of the Australian palaeontologist couple Tom Rich and Patricia Vickers-Rich who discovered it. The specific name, amicagraphica, translates to ""friend writing"" and honours both the Friends of the Museum of Victoria and the National Geographic Society for their support of Australian paleontology.
<p>
Leaellynasaura is a relatively small dinosaur, about 90 centimeters (3 feet) in length. It is known from several specimens including two nearly complete skeletons and two fragmentary skulls. Herne (2009) argued that, unlike more advanced ornithischians, Leaellynasaura lacked ossified tendons in its tail. He also argued that the tail is noteworthy as among the longest relative to its body size of any ornithischian: the tail was three times as long as the rest of the body combined; it also has more tail vertebrae than any other ornithischians except for some hadrosaurs.
<p>
Leaellynasaura was an Australian polar dinosaur. At this period in time, Victoria would have been within the Antarctic Circle. Although this latitude is very cold today, it was significantly warmer during the mid-Cretaceous. Because of the Earth's tilt, Leaellynasaura and its contemporaries would still have been living under conditions with extended periods of both daylight and night. Depending on latitude, it is possible that the sun might not have risen for several weeks or months in the winter, which means that Leaellynasaura would have had to live in the dark for perhaps months at a time. A skull fragment interpreted as being from Leaellynasaura has been reported as showing enlarged eyes and the suggestion of proportionally large optic lobes, implying an adaptation to low-light conditions. However, the relatively large orbits of this specimen were more recently interpreted as representing characteristically large eyes of a juvenile individual, rather than any low-light adaptation.",12,113,https://en.wikipedia.org/wiki/Leaellynasaura,no
Titanoboa,South America,Land,Carnivore,Reptile,58,60,40,2500,Paleogene,titanoboa,"Titanoboa (/ˌtaɪtənəˈbəʊər/; lit. 'titanic boa') is an extinct genus of very large snakes that lived in what is now La Guajira in northeastern Colombia. They could grow up to 12.8 m (42 ft), perhaps even 14.3 m (47 ft) long and reach a weight of 1,135 kg (2,500 lb). This snake lived during the Middle to Late Paleocene epoch, around 60 to 58 million years ago following the extinction of all non-avian dinosaurs. Although originally thought to be an apex predator, the discovery of skull bones revealed that it was more than likely specialized in preying on fish. The only known species is Titanoboa cerrejonensis, the largest snake ever discovered, which supplanted the previous record holder, Gigantophis garstini.
<p>
Initially, Titanoboa was thought to have acted much like a modern anaconda based on its size and the environment it was deposited in, with researchers suggesting that it may have in part fed on the local crocodylomorph fauna. However, in a 2013 abstract Jason Head and colleagues note that the skull of this snake displays multiple adaptations to a piscivorous diet such as the anatomy of the palate, tooth count and the anatomy of the teeth themselves. These adaptations bear resemblance to modern caenophidian snakes with a piscivorous diet and is unique among boids. Such a lifestyle would be supported by the extensive rivers of Paleocene Colombia, as well as the fossil fish (lungfish and osteoglossomorphs) recovered from the formation.
<p>
In the 2009 type description Head and colleagues correlate the gigantism observed in Titanoboa with the climate conditions of its environment. As a poikilothermic ectotherm, Titanoboa's internal temperature and metabolism were heavily dependent on the ambient temparture, which would in turn affect the animal's size. Accordingly, large ectothermic animals are typically found in the tropics and decrease in size the further one moves away from the equator. Following this correlation, the authors suggest that the mean annual temperature can be calculated by comparing the maximum body size of poikilotherm animals found in two localities. Based on the relation between temperatures in the modern Neotropics and the maximum length of anacondas, Head and colleagues calculate a mean annual temperature of at least 32–33 °C for the equatorial region of Paleocene South America. The estimates are consistent with a hot Paleocene climate model as suggested by a study published in 2003 and slightly higher (1-5 °C) than estimates derived from the oxygen isotopes of planktonic foraminifer. Although these estimates exceed temperatures of modern tropical forests, the paper argues that the increase in temperature is balanced out by higher amounts of rainfall.",14,60,https://en.wikipedia.org/wiki/Titanoboa,no
Gastornis,Eurasia,Land,Herbivore,Bird,40,40,6.5,250,Paleogene,gastornis,"Gastornis is an extinct genus of large flightless birds that lived during the mid Paleocene to mid Eocene epochs of the Paleogene period. Fossils have been found in Europe, Asia and North America, with the remains from North America originally assigned to the genus Diatryma.
<p>
Gastornis species were very large birds, and have traditionally been considered to be predators of small mammals. However, several lines of evidence, including the lack of hooked claws in known Gastornis footprints and studies of their beak structure and isotopic signatures of their bones have caused scientists to reinterpret these birds as herbivores that probably fed on tough plant material and seeds. Gastornis is generally agreed to be related to Galloanserae, the group containing waterfowl and gamebirds.
<p>
Gastornis was first described in 1855 from a fragmentary skeleton. It was named after Gaston Planté, described as a ""studious young man full of zeal"", who had discovered the first fossils in Argile Plastique formation deposits at Meudon near Paris. The discovery was notable due to the large size of the specimens, and because, at the time, Gastornis represented one of the oldest known birds.",10,40,https://en.wikipedia.org/wiki/Gastornis,no
Basilosaurus,North America,Water,Carnivore,Marine Reptile,33,41,59,30000,Paleogene,basilosaurus,"Basilosaurus (meaning ""king lizard"") is a genus of large, predatory, prehistoric archaeocete whale from the late Eocene, approximately 41.3 to 33.9 million years ago (mya). First described in 1834, it was the first archaeocete and prehistoric whale known to science. Fossils attributed to the type species B. cetoides were discovered in the United States. They were originally thought to be of a giant reptile, hence the suffix ""-saurus"", Ancient Greek for ""lizard"". The animal was later found to be an early marine mammal, which prompted attempts at renaming the creature, which failed as the rules of zoological nomenclature dictate using the original name given. Fossils were later found of the second species, B. isis, in 1904 in Egypt, Western Sahara, Morocco, Jordan, Tunisia, and Pakistan. Fossils have also been unearthed in the southeastern United States and Peru.
<p>
Basilosaurus is considered to have been common in the Tethys Ocean. It was one of the largest, if not the largest, animals of the Paleogene. It was the top predator of its environment, preying on sharks, large fish and other marine mammals, namely the dolphin-like Dorudon, which seems to have been their predominant food source.
<p>
Basilosaurus was at one point a wastebasket taxon, before the genus slowly started getting reevaluated, with many species of different Eocene cetacean being assigned to the genus in the past, however they are invalid or have been reclassified under a new or different genus, leaving only 2 confirmed species. Basilosaurus may have been one of the first fully aquatic cetaceans (sometimes referred to as the pelagiceti). Basilosaurus, unlike modern cetaceans, had various types of teeth–such as canines and molars–in its mouth (heterodonty), and it probably was able to chew its food in contrast to modern cetaceans which swallow their food whole.",15,41,https://en.wikipedia.org/wiki/Basilosaurus,no
