occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,protected,cx_int_no,formation,stratgroup,member,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,occurrence_comments,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,paleomodel,paleolng,paleolat,geoplate
149600,occ,,,13214,Morosaurus grandis,species,64505,recombined as,Camarasaurus grandis,,species,52961,Kimmeridgian,Tithonian,157.3,145,52556,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,KUVP 1354,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-09-03 15:05:07,gp_mid,-40.71,28.79,101
149601,occ,,,13214,Antrodemus valens,species,64031,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149981,occ,,,13279,n. gen. Scutellosaurus n. sp. lawleri,species,67088,,Scutellosaurus lawleri,,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405,-111.027779,35.679169,US,Arizona,Coconino,based on nearby landmark,seconds,outcrop,"80 km NE of Flagstaff, AZ, at West Moenkopi Plateau on the Ward Terrace. Within the Navajo Indian Reservation, about 10 km SW of Sand Springs, AZ. Locality is about 0.5 km SE of Rock Head (topographic feature).",,43,Kayenta,Glen Canyon,Silty Facies,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,middle part of formation,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",siltstone,,,,Y,sandstone,red,lithified,silty,,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",siltstone,,,,Y,sandstone,red,lithified,silty,,wet floodplain,,"paleoenvironment described as including ""southwestardly flowing rivers, rising from highlands...and meandering across a broad alluvial plain into low-lying marshes.""","MNA P1.175 (= MNA.v.175), almost complete skeleton (holotype)",14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-02-13 13:12:47,2021-08-19 15:16:01,gp_mid,-39.61,14.91,101
149982,occ,,,13280,Scutellosaurus lawleri,species,67088,,Scutellosaurus lawleri,,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405,-111.073608,35.736668,US,Arizona,,based on nearby landmark,seconds,,"along Gold Spring Wash, about 16 km NW of MNA 219; on Ward Terrace along the Adeii Eechii Cliffs.",,43,Kayenta,Glen Canyon,Silty Facies,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",sandstone,red,lithified,,Y,sandstone,,lithified,silty,Y,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",sandstone,red,lithified,,Y,sandstone,,lithified,silty,Y,wet floodplain,,"paleoenvironment described as including ""southwestardly flowing rivers, rising from highlands...and meandering across a broad alluvial plain into low-lying marshes.""","MNA P1.1752 (= MNA.V.1752), partial skeleton (paratype); TMM 43669-5, 6",14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-02-13 13:19:49,2021-08-19 15:16:41,gp_mid,-39.65,14.97,101
150174,occ,26032,,13326,Massospondylus carinatus,species,56595,,Massospondylus carinatus,,species,56595,Hettangian,Sinemurian,201.3,190.8,38488,28.623056,-28.509443,ZA,Free State,,stated in text,seconds,outcrop,"in the Golden Gate Highlands National Park. 17 km east of Clarens, along road connecting Clarens and Phuthaditjhaba",,43,Elliot,Stormberg,Upper,Elliot,Stormberg,Upper,bed,,,,,,,,"""approximately 3-4 m below the very marked contact between the Elliot Formation (Red Bed Stage) and very silty sandstone of the lower Clarens Formation (Cave Sandstone Stage) ... the horizon which yielded the eggs overlies which can be termed the Tritylodon assemblage zone."" Upper part of formation, equivalent to Massospondylus Range Zone.","hard reddish brown sandy mudstone, also described as a ""muddy siltstone""",siltstone,red or brown,lithified,muddy,Y,,,,,,"hard reddish brown sandy mudstone, also described as a ""muddy siltstone""",siltstone,red or brown,lithified,muddy,Y,,,,,,terrestrial indet.,,,,14,14,0,M. Carrano,M. Carrano,,2011-11-11 8:12:09,2011-11-10 15:12:09,gp_mid,16.95,-42.91,701
150175,occ,,,13326,Massospondylus sp.,genus,38642,,Massospondylus,,genus,38642,Hettangian,Sinemurian,201.3,190.8,4425,28.623056,-28.509443,ZA,Free State,,stated in text,seconds,outcrop,"in the Golden Gate Highlands National Park. 17 km east of Clarens, along road connecting Clarens and Phuthaditjhaba",,43,Elliot,Stormberg,Upper,Elliot,Stormberg,Upper,bed,,,,,,,,"""approximately 3-4 m below the very marked contact between the Elliot Formation (Red Bed Stage) and very silty sandstone of the lower Clarens Formation (Cave Sandstone Stage) ... the horizon which yielded the eggs overlies which can be termed the Tritylodon assemblage zone."" Upper part of formation, equivalent to Massospondylus Range Zone.","hard reddish brown sandy mudstone, also described as a ""muddy siltstone""",siltstone,red or brown,lithified,muddy,Y,,,,,,"hard reddish brown sandy mudstone, also described as a ""muddy siltstone""",siltstone,red or brown,lithified,muddy,Y,,,,,,terrestrial indet.,,,,18,18,14,M. Uhen,M. Uhen,M. Carrano,2002-02-23 15:06:30,2011-11-10 15:11:52,gp_mid,16.95,-42.91,701
150311,occ,,,13341,Apatosaurus n. sp. laticollis,species,52974,subjective synonym of,Apatosaurus louisae,,species,57752,Kimmeridgian,Tithonian,157.3,145,5981,-105.187332,39.653423,US,Colorado,Jefferson,estimated from map,6,small collection,"sec. 35, T4S, R70W, Morrison, Colorado; along Dinosaur Ridge",,41,Morrison,,Brushy Basin,Morrison,,Brushy Basin,group of beds,,,,,,,,two layers; upper middle part of formation,black mudstone and buff sandstone beds,mudstone,black,,,Y,sandstone,yellow,,,Y,black mudstone and buff sandstone beds,mudstone,black,,,Y,sandstone,yellow,,,Y,"""channel""",,channel deposit in a poorly drained floodplain environment; fossils from both layers,YPM 1861,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-02-28 11:59:43,2015-08-27 10:15:03,gp_mid,-40.53,26.25,101
150312,occ,,,13342,n. gen. Gigantosauropus n. sp. asturiensis,species,68176,nomen dubium,Dinosauria,,unranked clade,52775,Kimmeridgian,,157.3,152.1,5982,-5.249015,43.498878,ES,Asturias,Gijón,based on nearby landmark,6,outcrop,"Playa de la Griega, Jurassic section north of Colunga, 300 m east of the Rio Libardón delta, Gijón province, Asturia, Spain",,125,Tereñes,,,Tereñes,,,group of beds,,,,,,,,"described as ""Wealden"" but age given as Kimmeridgian. tracks in lower part","""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,"""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,marginal marine indet.,,"""Tereñes marl"" described as ""offshore shallow water"" deposit.",,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-01 12:48:06,2013-06-10 16:36:01,gp_mid,13.82,26.96,304
150313,occ,,I,13343,n. gen. Hispanosauropus n. sp. hauboldi,species,68178,,Hispanosauropus hauboldi,,species,68178,Kimmeridgian,,157.3,152.1,5982,-5.076468,43.468056,ES,Asturias,Gijón,estimated from map,6,outcrop,"Ribadesella, west side of the Playa, rock block at the northern retaining wall, Gijón province, Asturia, Spain",,125,Cabaços,,,Cabaços,,,group of beds,,,,,,,,"described as ""Wealden"" but age given as Kimmeridgian. tracks in lower part","""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,"""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,marine indet.,,"""Tereñes marl"" described as ""offshore shallow water"" deposit.",,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-01 12:51:16,2015-10-01 11:03:51,gp_mid,13.94,26.88,304
150314,occ,,I,13342,Hispanosauropus hauboldi,species,68178,,Hispanosauropus hauboldi,,species,68178,Kimmeridgian,,157.3,152.1,5982,-5.249015,43.498878,ES,Asturias,Gijón,based on nearby landmark,6,outcrop,"Playa de la Griega, Jurassic section north of Colunga, 300 m east of the Rio Libardón delta, Gijón province, Asturia, Spain",,125,Tereñes,,,Tereñes,,,group of beds,,,,,,,,"described as ""Wealden"" but age given as Kimmeridgian. tracks in lower part","""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,"""the ""Tereñes marl"" is in the lower section a silt and chalk sandstone with dessication cracks and ripple marks, then becomes a bituminous, prominently ostracode-bearing, pelecypod shell chalk, lime chalk marl and marl."" (German translated by M. Carrano)",sandstone,"desiccation cracks,wave ripples",,"silty,calcareous",Y,marl,shelly/skeletal,,"calcareous,carbonaceous",,marginal marine indet.,,"""Tereñes marl"" described as ""offshore shallow water"" deposit.",,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-01 12:53:08,2013-06-10 16:36:01,gp_mid,13.82,26.96,304
150350,occ,,,13352,Diplodocus carnegii,species,65917,,Diplodocus carnegii,,species,65917,Kimmeridgian,Tithonian,157.3,145,1808,-105.916199,42.152302,US,Wyoming,Albany,estimated from map,4,outcrop,"Sheep Creek, 25 miles NE of Medicine Bow, WY; orig. in Carbon Co.",,41,Morrison,,Lake Como,Morrison,,Lake Como,bed,,,,,,,,30-40 ft above Quarry E,"limestone-marl with silt and clay, gray",marl,gray,,argillaceous,Y,"""limestone""",,,,,"limestone-marl with silt and clay, gray",marl,gray,,argillaceous,Y,"""limestone""",,,,,pond,,ponds and swamps in deltas or floodplains,CM 94,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-01 16:16:35,2013-04-08 15:41:23,gp_mid,-40.29,28.8,101
150849,occ,,,13409,Megalosaurus n. sp. wetherilli,species,55479,recombined as,Dilophosaurus wetherilli,,species,55479,Sinemurian,Pliensbachian,199.3,182.7,13844,-110.32,36.145279,US,Arizona,Coconino,stated in text,seconds,small collection,"center of flat below Tuba City, 200 yards NE of road fence at dinosaur track locality, which is on the road to Moenave 0.13 miles N of Navajo 1 hwy to Tuba City. 20 miles N of Cameron, AZ in the Navajo Indian Reservation. SW 1/4, sec 34, T32N, R10E.",,43,Kayenta,Glen Canyon,Silty Facies,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,bed is 120 (or 126) feet above base of Kayenta Formation.,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",blue,,,Y,siltstone,"brown,gray",,,,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",blue,,,Y,siltstone,"brown,gray",,,,terrestrial indet.,,,"UCMP 37302 (holotype), nearly complete skeleton. UCMP 37303, partial skeleton; third skeleton eroded and not collected",14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-19 13:11:37,2017-08-02 10:59:02,gp_mid,-39,15.35,101
150850,occ,,,13410,Megalosaurus wetherilli,species,55479,recombined as,Dilophosaurus wetherilli,,species,55479,Sinemurian,Pliensbachian,199.3,182.7,13844,-110.300003,36.099998,US,Arizona,Coconino,stated in text,minutes,small collection,"0.25 miles S of UCMP V4214. 20 miles N of Cameron, AZ in the Navajo Indian Reservation. Coordinates from UCMP website.",,43,Kayenta,Glen Canyon,Silty Facies,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,bed is 120 feet above base of Kayenta Formation.,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",blue,,,Y,siltstone,"brown,gray",,,,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",blue,,,Y,siltstone,"brown,gray",,,,terrestrial indet.,,,UCMP 77270,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-03-19 13:13:26,2020-09-25 15:27:48,gp_mid,-38.98,15.31,101
