occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
781141,occ,,I,84111,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.727936,40.263302
781145,occ,,I,84112,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.826721,40.3022
781146,occ,,I,84113,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.786743,40.31139
781150,occ,,I,84114,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.832649,40.31205
781152,occ,,I,84115,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.839905,40.312778
781155,occ,,I,62768,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,28162,-75.862228,40.273548
781159,occ,,I,84116,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.588272,40.244633
781162,occ,,I,84116,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,28162,-75.588272,40.244633
781165,occ,,I,84117,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,28162,-75.833961,40.317619
781502,occ,27908,I,84185,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,,228,208.5,27985,-102.96167,37.008244
781506,occ,34806,IF,84187,Barrancapus sp.,genus,131588,,Barrancapus,,genus,131588,Norian,,228,208.5,27985,-109.875557,34.811111
782182,occ,,,84268,Saurischia indet.,unranked clade,308839,,Saurischia,,unranked clade,38505,Norian,,228,208.5,12930,-109.80806,34.884724
790083,occ,,,85500,cf. Coelophysoidea indet.,superfamily,55476,,Coelophysoidea,,superfamily,55476,Norian,Rhaetian,228,201.3,28888,18.645279,50.678612
790488,occ,,,85568,Prosauropoda ? indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,62875,-67.633331,-30.049999
800076,occ,,,87090,n. gen. Panphagia n. sp. protos,species,142534,,Panphagia protos,,species,142534,Carnian,,237,228,29302,-67.877502,-30.137222
806350,occ,38999,,13273,Herrerasauridae indet.,family,38510,,Herrerasauridae,,family,38510,Norian,,228,208.5,78487,-101.315002,33.521389
806351,occ,39000,,13273,Neotheropoda indet.,unranked clade,56397,,Neotheropoda,,unranked clade,56397,Norian,,228,208.5,78487,-101.315002,33.521389
807111,occ,,,88206,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Carnian,Norian,237,208.5,29620,-53.447777,-29.64139
807112,occ,,I,88206,Grallator ? sp.,genus,64079,,Grallator,,genus,64079,Carnian,Norian,237,208.5,29620,-53.447777,-29.64139
811738,occ,,I,89117,n. gen. Saurischichnus n. sp. primitivus,species,85808,,Saurischichnus primitivus,,species,85808,Norian,,228,208.5,29902,9.08333,48.533329
812268,occ,,,89256,Coelophysoidea indet.,superfamily,55476,,Coelophysoidea,,superfamily,55476,Norian,,228,208.5,29943,-106.495003,36.398609
816652,occ,,I,89860,Grallator sp.,genus,64079,,Grallator,,genus,64079,Tuvalian,,232,221.5,30097,11.119181,46.226288
816653,occ,,I,89860,Atreipus sp.,genus,68367,,Atreipus,,genus,68367,Tuvalian,,232,221.5,30097,11.119181,46.226288
816654,occ,,IF,89860,Evazoum sp.,genus,131586,,Evazoum,,genus,131586,Tuvalian,,232,221.5,30097,11.119181,46.226288
816673,occ,,,89862,Theropoda indet. C informal,unranked clade,91970,obsolete variant of,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,30099,11.223207,45.778912
816674,occ,,,89862,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Alaunian,,215.56,212,30099,11.223207,45.778912
816675,occ,,,89862,Theropoda indet. B informal,unranked clade,91970,obsolete variant of,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,30099,11.223207,45.778912
824856,occ,,,90876,Megalosaurus n. sp. obtusus,species,57415,nomen dubium,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,30573,5.516667,47.200001
824866,occ,,,90877,Megalosaurus ? sp.,genus,38583,,Megalosaurus,,genus,38583,Rhaetian,,208.5,201.3,30573,5.97,47.285
826835,occ,,,51970,Ornithischia indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Rhaetian,,208.5,201.3,30681,-2.616667,51.469166
826836,occ,,,51970,Theropoda indet.,unranked clade,94209,,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,30681,-2.616667,51.469166
826838,occ,,,51970,Sauropodomorpha indet.,unranked clade,38633,,Sauropodomorpha,,unranked clade,38633,Rhaetian,,208.5,201.3,30681,-2.616667,51.469166
830382,occ,,,91635,Megalosaurus n. sp. cloacinus,species,72166,nomen dubium,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,24252,9.0667,48.549999
830739,occ,,IF,91694,Brontozoum giganteum,species,67404,recombined as,Eubrontes giganteus,,species,67402,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830740,occ,,I,91694,Brontozoum minusculum,species,296494,recombined as,Eubrontes minusculus,,species,67386,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830741,occ,,IF,91694,Brontozoum sillimanium,species,96917,recombined as,Eubrontes sillimani,,species,67392,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830742,occ,,IF,91694,Grallator formosus,species,66096,subjective synonym of,Grallator tenuis,,species,67368,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830743,occ,,I,91694,Grallator parallelus,species,67398,subjective synonym of,Grallator cursorius,,species,64080,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830744,occ,,I,91694,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830745,occ,,I,91694,Anomoepus intermedius,species,67389,subjective synonym of,Anomoepus scambus,,species,67417,Late Triassic,,237,201.3,30910,-74.739334,40.964542
830748,occ,27486,I,46622,Anchisauripus milfordensis,species,85754,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,12444,-75.095001,40.568611
830749,occ,27487,I,46622,Anchisauripus milfordensis,species,85754,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,12444,-75.095001,40.568611
830750,occ,,IF,46622,Chimaerichnus n. sp. ingens,species,365821,recombined as,Sauropus ingens,,species,365821,Norian,,228,208.5,30910,-75.095001,40.568611
830752,occ,,IF,46622,Argozoum disparidigitatum,species,141793,subjective synonym of,Argoides macrodactylus,,species,141794,Norian,,228,208.5,30910,-75.095001,40.568611
830757,occ,,IF,55413,Brontozoum sillimanium,species,96917,recombined as,Eubrontes sillimani,,species,67392,Norian,,228,208.5,30910,-76.75,40.1525
830758,occ,,I,55413,Anomoepus gracillimus,species,67423,subjective synonym of,Anomoepus scambus,,species,67417,Norian,,228,208.5,30910,-76.75,40.1525
837369,occ,,,92850,Ornithischia indet.,unranked clade,91973,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,31343,-109.579445,34.68111
837370,occ,,,92850,Coelophysidae ? indet.,family,55478,,Coelophysidae,,family,55478,Norian,,228,208.5,31343,-109.579445,34.68111
837400,occ,,,92850,Ceratosauria ? indet.,suborder,84515,,Ceratosauria,,suborder,90100,Norian,,228,208.5,31343,-109.579445,34.68111
837653,occ,,,74202,Tawa hallae,species,159719,,Tawa hallae,,species,159719,Norian,,228,208.5,31393,-106.47506,36.323849
837654,occ,,,92938,n. gen. Tawa n. sp. hallae,species,159719,,Tawa hallae,,species,159719,Norian,,228,208.5,31393,-106.47506,36.323849
837655,occ,,,92939,Tawa hallae,species,159719,,Tawa hallae,,species,159719,Norian,,228,208.5,31393,-106.47506,36.323849
840624,occ,,,93229,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,14122,-109.805557,34.885834
842945,occ,,,93565,Dinosauria ? indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,31694,-106.833336,36.583332
842979,occ,,,93578,Theropoda ? indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,31704,-107.73333,34.900002
846308,occ,,,62311,cf. Caseosaurus sp.,genus,66660,,Caseosaurus,,genus,66660,Lacian,Sevatian,221.5,205.6,24249,-106.473053,36.331669
846455,occ,,,94158,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,Rhaetian,228,201.3,42569,101.883301,16.883333
850008,occ,,,39160,Revueltosaurus hunti,species,69055,recombined as,Krzyzanowskisaurus hunti,,species,69055,Norian,,228,208.5,32141,-109.462486,34.43742
853390,occ,,I,94784,Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,32308,28.274721,-30.97611
853400,occ,27836,,94787,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Carnian,,237,228,32311,81.366669,23.916668
869607,occ,,,96435,Zanclodon n. sp. silesiacus,species,167571,nomen dubium,Theropoda,,unranked clade,38513,Anisian,,247.2,242,32736,17.628889,50.577778
869870,occ,24528,,96453,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,35696,27.383333,-28.983334
872657,occ,,,96712,Ceratosauria indet.,suborder,84515,,Ceratosauria,,suborder,90100,Carnian,,237,228,32997,10.528333,43.703056
882040,occ,,,97815,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.216667,49.483334
882063,occ,,,97817,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.283333,49.5
882064,occ,,,97818,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Norian,,228,208.5,33788,11.266667,49.483334
882065,occ,23390,,97819,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.516666
882066,occ,23391,,97820,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.292222,49.46722
882068,occ,,,97822,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.227778,49.53611
882116,occ,,,97825,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.2875,49.460835
882117,occ,,,97826,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.433333,49.5
882118,occ,,,97827,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.400002
882119,occ,28158,,97828,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.400002
882120,occ,28159,,97829,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.166667,49.233334
882164,occ,30847,,97830,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,44840,11.266667,49.5
882165,occ,,,97831,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.516666
882166,occ,,,97832,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,44840,11.233333,49.25
882167,occ,,,97833,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.273889,49.490002
882168,occ,,,97834,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.273889,49.490002
882169,occ,,,97835,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.283333,49.483334
882211,occ,,,97836,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.2,49.400002
882212,occ,,,97837,Plateosauridae ? indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.283333,49.433334
882213,occ,,,97838,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.083333,49.450001
882240,occ,,,97839,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Rhaetian,,208.5,201.3,33788,11.45,50.099998
882241,occ,,,97840,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.516666
882242,occ,,,97841,Plateosauridae indet.,family,54157,,Plateosauridae,,family,54157,Norian,,228,208.5,33788,11.25,49.516666
890418,occ,,IF,55414,Anchisauripus sillimani,species,67393,recombined as,Eubrontes sillimani,,species,67392,Norian,,228,208.5,33998,-77.057899,40.001499
890419,occ,,I,55414,Otozoum ? minus,species,67415,,Otozoum minus,,species,67415,Norian,,228,208.5,33998,-77.057899,40.001499
890420,occ,,IF,55414,Grallator tenuis,species,67368,,Grallator tenuis,,species,67368,Norian,,228,208.5,33998,-77.057899,40.001499
893426,occ,,,98905,n. gen. Sanjuansaurus n. sp. gordilloi,species,172073,,Sanjuansaurus gordilloi,,species,172073,Carnian,,237,228,34067,-67.897858,-30.119198
896129,occ,,,72090,n. gen. Teyuwasu n. sp. barberenai,species,105787,subjective synonym of,Staurikosaurus pricei,,species,55001,Carnian,Norian,237,208.5,34120,-53.75,-29.666668
897618,occ,24460,,99665,Guaibasaurus ? sp.,genus,66570,,Guaibasaurus,,genus,66570,Norian,,228,208.5,35591,-52.84111,-29.681389
898195,occ,,,99815,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,34312,-53.400002,-29.533331
905398,occ,,I,68779,Grallator n. sp. pisanus,species,64079,species not entered,Grallator,,genus,64079,Carnian,,237,228,32997,10.490556,43.742779
905401,occ,,,68779,Ornithischia indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Carnian,,237,228,32997,10.490556,43.742779
908663,occ,,,102380,n. gen. Eodromaeus n. sp. murphi,species,174879,,Eodromaeus murphi,,species,174879,Carnian,,237,228,34767,-67.936386,-30.067778
920332,occ,38348,I,105096,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Rhaetian,,208.5,201.3,76668,-108.636002,39.027
920351,occ,,I,105101,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,35162,-77.53083,38.820557
922190,occ,,I,84187,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,35162,-109.875557,34.811111
922194,occ,,,105543,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Rhaetian,Hettangian,208.5,199.3,35162,-113.070557,37.168331
922209,occ,,IF,105551,Kayentapus minor,species,94348,,Kayentapus minor,,species,67431,Norian,,228,208.5,35263,-77.475555,38.750832
922210,occ,,I,105551,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,35263,-77.475555,38.750832
922211,occ,,I,105551,Gregaripus sp.,genus,94345,,Gregaripus,,genus,94345,Norian,,228,208.5,35263,-77.475555,38.750832
923085,occ,24324,,105691,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,13000,-68.150002,-29.85
923097,occ,,,105697,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,,228,208.5,13000,-67.916664,-29.966667
923798,occ,,,105770,cf. Melanorosaurus sp.,genus,38648,,Melanorosaurus,,genus,38648,Norian,Rhaetian,228,201.3,25375,27.483334,-30.516666
930849,occ,,,105831,Sellosaurus gracilis,species,54996,recombined as,Plateosaurus gracilis,,species,54996,Norian,,228,208.5,25583,8.636111,48.075001
931121,occ,,,106563,Plateosaurus ? sp.,genus,38644,,Plateosaurus,,genus,38644,Norian,Rhaetian,228,201.3,25375,27.183332,-30.733334
931122,occ,,,106564,Euskelosaurus browni,species,85818,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.1,-30.75
931123,occ,,,106565,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.333332,-30.583332
931124,occ,,,106566,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.333332,-30.6
931125,occ,,,106567,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.466667,-30.633333
931127,occ,,,106568,Melanorosaurus sp.,genus,38648,,Melanorosaurus,,genus,38648,Norian,Rhaetian,228,201.3,25375,28.066668,-28.833332
931128,occ,,,106569,Blikanasaurus cromptoni,species,55644,,Blikanasaurus cromptoni,,species,55644,Norian,Rhaetian,228,201.3,35639,27.341667,-29.219999
931129,occ,,,106569,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,35639,27.341667,-29.219999
931162,occ,36102,,106571,Melanorosaurus readi,species,54980,,Melanorosaurus readi,,species,54980,Norian,Rhaetian,228,201.3,35640,27.341667,-29.219999
932958,occ,,,107134,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.566668,-30.433332
932959,occ,,,107063,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.366667,-28.983334
932960,occ,,,107062,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.516666,-28.516666
932961,occ,,,107136,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.966667,-28.416668
932969,occ,,,107137,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.5,-28.416668
932972,occ,,,107138,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.5,-28.416668
932973,occ,,,107139,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.416668,-28.483334
932974,occ,,,107140,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.433332,-28.5
932975,occ,,,107141,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.416668,-28.5
932976,occ,,,107142,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.266666,-28.616667
932977,occ,,,107143,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.266666,-28.616667
932978,occ,,,107144,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.316668,-28.616667
932979,occ,,,107145,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.25,-28.666668
932981,occ,,,107146,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.283333,-28.666668
932983,occ,,,107148,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.316668,-28.683332
932993,occ,,,107149,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.316668,-28.683332
932995,occ,,,107150,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.266666,-28.866667
932996,occ,,,107151,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.433332,-28.950001
932997,occ,,,107152,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.316668,-28.966667
933000,occ,,,107154,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.483334,-29.033333
933007,occ,,,107155,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.450001,-29.049999
933008,occ,,,107156,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.433332,-29.049999
933010,occ,,,107159,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.316668,-29.066668
933020,occ,,,107160,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.5,-29.066668
933032,occ,,,107165,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,28.35,-30.033333
933037,occ,,,107167,cf. Melanorosaurus sp.,genus,38648,,Melanorosaurus,,genus,38648,Norian,Rhaetian,228,201.3,25375,27.35,-29.883333
933038,occ,,,107168,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.266666,-29.85
933048,occ,,,107170,cf. Melanorosaurus sp.,genus,38648,,Melanorosaurus,,genus,38648,Norian,Rhaetian,228,201.3,25375,27.516666,-29.333332
933075,occ,,,107176,Eucnemesaurus fortis,species,56614,,Eucnemesaurus fortis,,species,56614,Norian,Rhaetian,228,201.3,35696,27.933332,-28.5
933077,occ,,,107177,Euskelosaurus browni,species,85818,nomen dubium,Sauropodomorpha,,unranked clade,38633,Late Triassic,,237,201.3,35697,31.061111,-22.493889
933078,occ,,,107178,Euskelosaurus browni,species,85818,nomen dubium,Sauropodomorpha,,unranked clade,38633,Late Triassic,,237,201.3,35697,31.059999,-22.493055
933079,occ,,,107179,Euskelosaurus browni,species,85818,nomen dubium,Sauropodomorpha,,unranked clade,38633,Late Triassic,,237,201.3,35697,31.065277,-22.5
933080,occ,,,107180,Euskelosaurus browni,species,85818,nomen dubium,Sauropodomorpha,,unranked clade,38633,Late Triassic,,237,201.3,35697,31.029167,-22.483334
933084,occ,,,107182,Prosauropoda indet.,unranked clade,162292,,Prosauropoda,,unranked clade,38634,Norian,Rhaetian,228,201.3,35700,101.75,16.883333
935231,occ,,,48422,n. gen. Daemonosaurus n. sp. chauliodus,species,182713,,Daemonosaurus chauliodus,,species,182713,Rhaetian,,208.5,201.3,35814,-106.473099,36.331699
942452,occ,,,59669,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Ladinian,,242,237,35582,-68.417778,-29.611668
945501,occ,,,109711,Thecodontosaurus sp.,genus,53022,,Thecodontosaurus,,genus,53022,Rhaetian,,208.5,201.3,36266,4.67,46.900002
947553,occ,,I,110468,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,36360,19.046915,50.587448
947554,occ,,I,110468,cf. Atreipus sp.,genus,68367,,Atreipus,,genus,68367,Carnian,,237,228,36360,19.046915,50.587448
961540,occ,,,105292,Ornithischia indet.,unranked clade,91973,,Ornithischia,,unranked clade,38712,Carnian,,237,228,36672,81.330032,23.911783
968594,occ,34697,IF,68780,Eosauropus sp.,genus,131584,,Eosauropus,,genus,131584,Carnian,,237,228,39735,9.882214,44.081387
968661,occ,,,32325,Sauropoda indet.,unranked clade,95571,,Sauropoda,,unranked clade,38653,Norian,,228,208.5,37144,-68.096664,-29.860832
968842,occ,,I,74806,Otozoum sp.,genus,64089,,Otozoum,,genus,64089,Late Triassic,,237,201.3,37185,-3.701282,51.490177
999659,occ,,,121323,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Rhaetian,Hettangian,208.5,199.3,38719,-113.536224,37.100914
1014760,occ,26410,IF,114771,Coelurosaurichnus n. sp. sassendorfensis,species,85793,,Coelurosaurichnus sassendorfensis,,species,85793,Rhaetian,Early Hettangian,208.5,196.5,40024,10.955,49.988998
1033168,occ,,IF,126538,Shenmuichnus sp.,genus,231004,,Shenmuichnus,,genus,231004,Late Triassic,,237,201.3,41028,110.604721,38.758888
1033169,occ,,,126538,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Late Triassic,,237,201.3,41028,110.604721,38.758888
1033900,occ,,,126607,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Rhaetian,Hettangian,208.5,199.3,41099,-111.344406,36.077953
1033902,occ,,IF,126609,Anchisauripus sp.,genus,64083,,Anchisauripus,,genus,64083,Rhaetian,Hettangian,208.5,199.3,41099,-111.112221,35.863056
1033903,occ,,I,126609,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,Hettangian,208.5,199.3,41099,-111.112221,35.863056
1033904,occ,,IF,126607,Dilophosauripus sp.,genus,231458,,Dilophosauripus,,genus,231458,Rhaetian,Hettangian,208.5,199.3,41099,-111.344406,36.077953
1033905,occ,,,126610,Theropoda indet.,unranked clade,94209,,Theropoda,,unranked clade,38513,Rhaetian,Hettangian,208.5,199.3,41099,-111.316704,36.099998
1063632,occ,,,131436,n. gen. Chromogisaurus n. sp. novasi,species,242722,,Chromogisaurus novasi,,species,242722,Carnian,,237,228,42426,-67.90126,-30.116928
1066207,occ,,,131835,n. gen. Nambalia n. sp. roychowdhurii,species,243275,,Nambalia roychowdhurii,,species,243275,Norian,,228,208.5,42497,79.449997,19.266666
1066208,occ,,,131836,n. gen. Jaklapallisaurus n. sp. asymmetrica,species,243277,,Jaklapallisaurus asymmetrica,,species,243277,Norian,,228,208.5,42497,79.550003,19.233334
1066209,occ,,,131837,Guaibasauridae indet.,family,66572,,Guaibasauridae,,family,66572,Norian,,228,208.5,42497,79.51667,19.200001
1066214,occ,,,131840,Jaklapallisaurus asymmetrica,species,243277,,Jaklapallisaurus asymmetrica,,species,243277,Norian,Rhaetian,228,201.3,42497,79.599998,19.166668
1066215,occ,,,131840,Sauropodomorpha indet.,unranked clade,38633,,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,42497,79.599998,19.166668
1066217,occ,,,131841,Neotheropoda indet.,unranked clade,56397,,Neotheropoda,,unranked clade,56397,Norian,Rhaetian,228,201.3,42497,79.51667,19.200001
1068454,occ,,I,132244,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,42584,-75.781937,40.313416
1071220,occ,38197,,132933,Neotheropoda ? indet.,unranked clade,56397,,Neotheropoda,,unranked clade,56397,Norian,Rhaetian,228,201.3,76305,18.876667,49.988335
1071601,occ,,,98623,n. gen. Pampadromaeus n. sp. barberenai,species,243373,,Pampadromaeus barberenai,,species,243373,Carnian,Norian,237,208.5,42509,-53.292778,-29.653055
1073646,occ,27490,I,46621,Grallator sulcatus,species,64081,subjective synonym of,Grallator cursorius,,species,64080,Norian,,228,208.5,12444,-75.095001,40.568611
1073647,occ,27491,I,46621,Grallator sulcatus,species,64081,subjective synonym of,Grallator cursorius,,species,64080,Norian,,228,208.5,12444,-75.095001,40.568611
